Seed,Feature Type,Label,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Weight Norm,Cosine Sim Input-Recons,Cosine Sim Input-Diff,Cosine Sim Recons-Diff
0,sae_input,label,0.17509478330612183,0.9728373885154724,0.4230019152164459,0.9666109681129456,3.5340781211853027,0.5461387634277344,0.5180760622024536,-0.0963127389550209
0,sae_recons,label,0.1458321064710617,0.9694943428039551,0.21242572367191315,0.9682804346084595,3.269113302230835,0.5461387634277344,0.5180760622024536,-0.0963127389550209
0,sae_diff,label,0.033121563494205475,0.9887170791625977,0.07307188212871552,0.9849749207496643,2.4947288036346436,0.5461387634277344,0.5180760622024536,-0.0963127389550209
1,sae_input,label,0.4052358865737915,0.967822790145874,0.41865453124046326,0.9666109681129456,3.63128399848938,0.5250887870788574,0.4691351056098938,-0.09139610826969147
1,sae_recons,label,0.13982084393501282,0.9749268293380737,0.2589609622955322,0.9549248218536377,3.7901601791381836,0.5250887870788574,0.4691351056098938,-0.09139610826969147
1,sae_diff,label,0.16022822260856628,0.9611366391181946,0.20027442276477814,0.9532554149627686,3.02044939994812,0.5250887870788574,0.4691351056098938,-0.09139610826969147
2,sae_input,label,0.036051537841558456,0.9958211183547974,0.012448149733245373,0.9949916005134583,3.5689384937286377,0.5310370326042175,0.49354445934295654,-0.06757167726755142
2,sae_recons,label,0.13774709403514862,0.9832845330238342,0.09916374832391739,0.9833054542541504,3.2511820793151855,0.5310370326042175,0.49354445934295654,-0.06757167726755142
2,sae_diff,label,0.0847068578004837,0.9870455265045166,0.07923317700624466,0.9899832606315613,3.529395341873169,0.5310370326042175,0.49354445934295654,-0.06757167726755142
3,sae_input,label,0.05912473797798157,0.992060124874115,0.0883534848690033,0.9849749207496643,3.079341173171997,0.5287808775901794,0.514941930770874,-0.05004049837589264
3,sae_recons,label,0.06645304709672928,0.9882991909980774,0.0727379098534584,0.9849749207496643,3.425144910812378,0.5287808775901794,0.514941930770874,-0.05004049837589264
3,sae_diff,label,0.00492341723293066,0.9991642236709595,0.00023314665304496884,1.0,3.6423537731170654,0.5287808775901794,0.514941930770874,-0.05004049837589264
4,sae_input,label,0.27962344884872437,0.9765983819961548,0.2540130913257599,0.9749582409858704,4.098766803741455,0.5332903861999512,0.47985216975212097,-0.127573624253273
4,sae_recons,label,0.3198503255844116,0.9465106129646301,0.3903850317001343,0.9365609288215637,3.102886438369751,0.5332903861999512,0.47985216975212097,-0.127573624253273
4,sae_diff,label,0.4819720387458801,0.9368992447853088,0.5640881061553955,0.9248747825622559,4.111207962036133,0.5332903861999512,0.47985216975212097,-0.127573624253273
5,sae_input,label,0.2715100049972534,0.9699122309684753,0.37035590410232544,0.9666109681129456,3.8523175716400146,0.5168991684913635,0.4863400161266327,-0.08241850137710571
5,sae_recons,label,0.08385781943798065,0.9870455265045166,0.5437866449356079,0.9699499011039734,3.495100498199463,0.5168991684913635,0.4863400161266327,-0.08241850137710571
5,sae_diff,label,0.0070678964257240295,0.998328447341919,0.1099059209227562,0.9866443872451782,3.011079788208008,0.5168991684913635,0.4863400161266327,-0.08241850137710571
6,sae_input,label,0.4043540358543396,0.9310488700866699,0.3747509717941284,0.9365609288215637,2.9781970977783203,0.5490673184394836,0.5018252730369568,-0.0833495706319809
6,sae_recons,label,0.18098995089530945,0.9665691256523132,0.1875687837600708,0.9649415612220764,3.600555419921875,0.5490673184394836,0.5018252730369568,-0.0833495706319809
6,sae_diff,label,0.003228120505809784,0.9987463355064392,0.0045144809409976006,0.9983305335044861,2.65995192527771,0.5490673184394836,0.5018252730369568,-0.0833495706319809
7,sae_input,label,0.03952270373702049,0.9954032301902771,0.161367267370224,0.9899832606315613,3.62208890914917,0.5134447813034058,0.5051367282867432,-0.09002187848091125
7,sae_recons,label,0.04341219365596771,0.993731677532196,0.20072156190872192,0.9866443872451782,3.731248140335083,0.5134447813034058,0.5051367282867432,-0.09002187848091125
7,sae_diff,label,0.012400912120938301,0.9974926710128784,0.061574071645736694,0.9949916005134583,3.361828565597534,0.5134447813034058,0.5051367282867432,-0.09002187848091125
8,sae_input,label,0.24517227709293365,0.9557040929794312,0.22325049340724945,0.9682804346084595,3.0976192951202393,0.5273974537849426,0.4960281550884247,-0.08214840292930603
8,sae_recons,label,0.044930439442396164,0.9891349673271179,0.12635153532028198,0.9833054542541504,3.327064275741577,0.5273974537849426,0.4960281550884247,-0.08214840292930603
8,sae_diff,label,0.01929613947868347,0.9970747828483582,0.013951854780316353,0.9983305335044861,4.153292655944824,0.5273974537849426,0.4960281550884247,-0.08214840292930603
